교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,경도,
강원특별자치도교육청,고성교육지원청,오호초등학교병설유치원,공립(병설),황서구,황서구,19810323,19810323,강원특별자치도 고성군 황포길 28,033-632-0287, , ,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,5,0,38.31347059,128.5313773
강원특별자치도교육청,고성교육지원청,죽왕초등학교병설유치원,공립(병설),김명종,김명종,19850820,19850901,강원특별자치도 고성군 송지호로 6,033-632-8908,033-631-1221,http://jw.gwe.es.kr,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,5,0,38.33041683,128.5229463
강원특별자치도교육청,고성교육지원청,천진초등학교병설유치원,공립(병설),방대식,방대식,19810306,19810306,강원특별자치도 고성군 천진1길 14,033-639-0417,033-631-5685,http://www.천진초등학교.한국,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,15,0,38.25743604,128.5570885
강원특별자치도교육청,동해교육지원청,남호초등학교병설유치원,공립(병설),윤종달,윤종달,19810310,19810310,강원특별자치도 동해시 평원로 120,033-530-7890,033-535-7570,https://namho.gwe.es.kr/,09시00분~17시00분,1,1,1,0,0,56,14,20,22,0,0,4,10,14,0,0,37.53437349,129.1131686
강원특별자치도교육청,동해교육지원청,대동유치원,사립(사인),김재동,이경숙,19951020,19951020,강원특별자치도 동해시 청운로 78,033-521-8020,033-521-8021, ,08시00분~18시30분,3,1,2,0,0,156,78,26,52,0,0,42,26,29,0,0,37.48688535,129.103182
강원특별자치도교육청,동해교육지원청,동해랑유치원,공립(단설),이은주,이은주,20121010,20160301,강원특별자치도 동해시 전천로 276-27,033-520-3000,033-521-1891,https://dhrang.gwe.kg.kr,08시00분~19시00분,2,2,2,0,1,112,26,39,43,0,4,26,39,42,0,5,37.47970246,129.1238138
강원특별자치도교육청,동해교육지원청,동해중앙초등학교병설유치원,공립(병설),권순원,권순원(직무대리),19810308,19810308,강원특별자치도 동해시 천곡로 35,033-530-8995,033-533-9838, ,09시00분~17시00분,0,0,1,1,0,36,0,0,22,14,0,0,0,7,7,0,37.52564564,129.1091364
강원특별자치도교육청,동해교육지원청,동해초등학교병설유치원,공립(병설),전기철,전기철,19890301,19890301,강원특별자치도 동해시 봉오주택길 22,033-530-7977,033-532-9727,http://donghae.gwe.es.kr,09시00분~17시00분,0,0,0,2,0,36,0,0,0,36,0,0,0,0,14,0,37.51139857,129.1215067
강원특별자치도교육청,동해교육지원청,리라유치원,사립(사인),이상걸,김미영,19940101,20090811,강원특별자치도 동해시 송이고개길 11,033-531-5337,033-533-4337, ,08시00분~18시30분,2,2,2,0,0,120,40,41,39,0,0,40,41,39,0,0,37.54250173,129.099013
강원특별자치도교육청,동해교육지원청,무지개유치원,사립(사인),김성희,김성희,19921010,19921010,강원특별자치도 동해시 천곡1길 90,033-535-2166, , ,08시00분~18시00분,2,2,2,0,0,156,44,48,52,0,0,22,35,46,0,0,37.52786422,129.1065145
강원특별자치도교육청,동해교육지원청,삼화초등학교병설유치원,공립(병설),박해정,박해정,19820301,19820301,강원특별자치도 동해시 파수길 38,033-530-6930,033-534-7007,https://samhwa.gwe.es.kr/,09시00분~17시00분,1,0,0,1,0,10,4,0,0,6,0,4,0,0,6,0,37.48504434,129.0675702
강원특별자치도교육청,동해교육지원청,성호유치원,사립(사인),이선희,이선희,19940301,19940301,강원특별자치도 동해시 샘실1길 7,033-535-3353,099-535-3353, ,08시00분~18시00분,1,1,2,0,0,140,40,48,52,0,0,8,19,20,0,0,37.52032072,129.104781
강원특별자치도교육청,동해교육지원청,솔빛유치원,사립(사인),손민숙,손민숙,20090301,20090301,강원특별자치도 동해시 청운2길 21,033-521-5553, , ,08시00분~18시30분,1,2,1,0,0,140,18,40,24,0,0,17,27,19,0,0,37.4847461,129.1054763
강원특별자치도교육청,동해교육지원청,천곡초등학교병설유치원,공립(병설),김신형,김신형,19950301,19950301,강원특별자치도 동해시 동굴로 33,033-530-6797,033-533-0395,https://semsil.gwe.es.kr/,09시00분~17시00분,0,0,1,1,0,36,0,0,22,14,0,0,0,5,6,0,37.51778199,129.1078835
강원특별자치도교육청,동해교육지원청,해오름유치원,공립(단설),최혜숙,최혜숙,20110301,20110301,강원특별자치도 동해시 관사길 11,033-520-2006,033-533-7074,http://haeorm.gwe.kg.kr/,08시00분~19시00분,2,2,2,0,0,112,28,40,44,0,0,28,18,24,0,0,37.54993564,129.1051046
강원특별자치도교육청,삼척교육지원청,노란유치원,사립(사인),심태은,심태은,19761005,19761005,강원특별자치도 삼척시 정상로 91-55,033-573-4253, , ,09시00분~17시00분,2,1,2,0,0,120,40,25,55,0,0,34,24,38,0,0,37.45023168,129.1736702
강원특별자치도교육청,삼척교육지원청,다솔유치원,사립(사인),천성일,김란현,20120301,20120301,강원특별자치도 삼척시 정상로 19,033-572-5959,033-573-0399, ,09시00분~17시00분,2,1,2,0,0,156,48,26,52,0,0,22,24,34,0,0,37.44374657,129.175991
강원특별자치도교육청,삼척교육지원청,도계한빛유치원,공립(단설),심옥화,심옥화,20050301,20050301,강원특별자치도 삼척시 도계로 265,033-541-9996,033-541-3408,https://hanbit.gwe.kg.kr,08시00분~19시00분,1,1,1,0,0,56,14,20,22,0,0,4,12,19,0,0,37.23334192,129.044628
강원특별자치도교육청,삼척교육지원청,맹방초등학교병설유치원,공립(병설),이범희,이범희,19800301,19800301,강원특별자치도 삼척시 삼척로 3884-4,033-572-3406,033-572-3603,http://www.m-bang.es.kr,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,12,0,37.39878308,129.2135612
강원특별자치도교육청,삼척교육지원청,미라유치원,사립(사인),김선의,김선의,20140301,20140301,강원특별자치도 삼척시 청석로3길 25,572-3500,033-573-3600,https://cafe.naver.com/mirakindergarten,09시00분~18시30분,2,3,1,0,0,140,40,72,28,0,0,16,62,23,0,0,37.44901636,129.176242
강원특별자치도교육청,삼척교육지원청,미로초등학교병설유치원,공립(병설),김보현,김보현,19810301,19810301,강원특별자치도 삼척시 미로강변로1길 10-11,033-570-0800,033-573-7998,http://miro.gwe.es.kr/,08시40분~16시40분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.41491572,129.1150035
강원특별자치도교육청,삼척교육지원청,삼척누리유치원,공립(단설),민경숙,민경숙,20120118,20120301,강원특별자치도 삼척시 동해대로 3783-24,033-570-7101,033-572-9209,http://samcheoknuri.gwe.kg.kr/,09시00분~17시00분,2,1,2,0,1,92,28,20,44,0,0,27,16,31,0,9,37.42432407,129.1877718
강원특별자치도교육청,삼척교육지원청,오저초등학교병설유치원,공립(병설),정의남,정의남,20120301,20120301,강원특별자치도 삼척시 가곡천로 1430,033-573-4360,033-572-9918,http://ojeo.gwe.es.kr/,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,1,0,37.14662128,129.2066189
강원특별자치도교육청,삼척교육지원청,임원초등학교병설유치원,공립(병설),조현도,조현도,19810310,19810310,강원특별자치도 삼척시 삼척로 1246,033-572-7599,033-573-5079, ,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.23610611,129.3418955
강원특별자치도교육청,삼척교육지원청,장호초등학교병설유치원,공립(병설),최길승,최길승,19810320,19810320,강원특별자치도 삼척시 장호안1길 24,033-572-8704,033-572-9690,http://www.jangho.es.kr/,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.28277222,129.3139059
강원특별자치도교육청,삼척교육지원청,정라초등학교병설유치원,공립(병설),유금산,유금산,19810302,19810302,강원특별자치도 삼척시 정상로3길 5,033-571-5394,033-571-5490,http://jeongra.gwe.es.kr,07시50분~18시50분,1,1,1,0,0,56,14,20,22,0,0,14,20,22,0,0,37.44545029,129.1762868
강원특별자치도교육청,삼척교육지원청,중앙유치원,사립(사인),배숭혁,전혜원,19260610,19260610,강원특별자치도 삼척시 죽서루길 61,033-573-1630,033-573-1658,http://cafe.daum.net/JAkindergarten,09시00분~17시00분,1,1,1,0,0,78,24,26,28,0,0,20,25,25,0,0,37.44171022,129.1599275
강원특별자치도교육청,삼척교육지원청,진주초등학교병설유치원,공립(병설),권오우,권오우,20200301,20200301,강원특별자치도 삼척시 사직로1길 23,033-573-3463,033-573-3464,http://jinju.gwe.es.kr,08시00분~18시00분,0,0,1,1,0,36,0,0,22,14,0,0,0,2,3,0,37.43304777,129.1657583
강원특별자치도교육청,삼척교육지원청,호산초등학교병설유치원,공립(병설),지준천,지준천,19810307,19810307,강원특별자치도 삼척시 삼척로 462-12,033-572-6102,033-573-8580,http://hosan.gwe.es.kr/,08시00분~18시00분,0,0,0,1,0,8,0,0,0,8,0,0,0,0,8,0,37.17842644,129.334819
강원특별자치도교육청,속초양양교육지원청,강현초등학교병설유치원,공립(병설),주상근,주상근,19810301,19810301,강원특별자치도 양양군 진미로12번길 22,033-670-9018,033-671-1587,http://kh.gwe.es.kr/,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,7,0,38.1496645,128.6039845
강원특별자치도교육청,속초양양교육지원청,광정초등학교병설유치원,공립(병설),강장수,강장수,19810219,19810320,강원특별자치도 양양군 하조대1길 38,033-672-8676,033-672-3253,http://gi.gwe.es.kr,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,8,0,38.01858398,128.7251073
강원특별자치도교육청,속초양양교육지원청,낙산유치원,사립(사인),허창수,신선희,19850531,19850531,강원특별자치도 양양군 남서길 28-4,033-671-4167, , ,07시40분~19시30분,1,2,1,0,0,84,16,44,24,0,0,16,27,22,0,0,38.07240603,128.6187874
강원특별자치도교육청,속초양양교육지원청,남애초등학교병설유치원,공립(병설),윤길중,윤길중,19840602,19840602,강원특별자치도 양양군 현남면 갯마을길 10,033-670-9600,033-671-5948,http://namae.es.kr,08시30분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,7,0,37.94661626,128.7807807
강원특별자치도교육청,속초양양교육지원청,대포초등학교병설유치원,공립(병설),이연옥,이연옥(직무대리),20190301,20190305,강원특별자치도 속초시 동해대로 3797,033-630-4707,033-635-4085,http://daepo.gwe.es.kr,08시30분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,13,0,38.17372332,128.6031621
강원특별자치도교육청,속초양양교육지원청,산호유치원,공립(단설),최정열,최정열,20070301,20070301,강원특별자치도 속초시 조양로118번길 7,033-637-0622,033-637-0627,https://sanho.gwe.kg.kr,08시00분~19시00분,2,2,2,0,0,112,28,40,44,0,0,28,40,44,0,0,38.18838251,128.5870273
강원특별자치도교육청,속초양양교육지원청,상평초등학교병설유치원,공립(병설),김왕래,김왕래,19810304,19810304,강원특별자치도 양양군 물윗구미길 18,033-672-2982,033-672-2646, ,08시30분~18시30분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,4,0,38.07197067,128.5864227
강원특별자치도교육청,속초양양교육지원청,설악초등학교병설유치원,공립(병설),주경희,주경희,19820301,19820301,강원특별자치도 속초시 청봉로 51,033-636-7052,033-635-0824,http://www.seorak.es.kr,08시40분~16시40분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,10,0,38.16399214,128.5405261
강원특별자치도교육청,속초양양교육지원청,소야초등학교병설유치원,공립(병설),김용근,김용근,20030301,20030301,강원특별자치도 속초시 배움터길 42,033-630-9590,033-636-9542,http://soya.gwe.es.kr,09시00분~17시00분,0,0,1,1,0,36,0,0,22,14,0,0,0,21,9,0,38.19964751,128.5667191
강원특별자치도교육청,속초양양교육지원청,속초유치원,공립(단설),이정자,이정자,20130110,20150301,강원특별자치도 속초시 중앙로 331,033-639-6920,033-638-6073,http://sokcho.gwe.kg.kr,08시00분~19시00분,2,2,2,0,1,112,28,41,43,0,0,28,39,42,0,4,38.21791121,128.5905977
강원특별자치도교육청,속초양양교육지원청,손양초등학교병설유치원,공립(병설),장선옥,장선옥,19840613,19840613,강원특별자치도 양양군 손중로 202,033-672-2619,033-672-2623, ,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,6,0,38.06029939,128.6429848
강원특별자치도교육청,속초양양교육지원청,송포초등학교병설유치원,공립(병설),박명희,박명희,19840620,19840620,강원특별자치도 양양군 동명로 321-11,033-671-8792,033-672-8798,http://songpho.gwe.es.kr,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,7,0,38.08956959,128.6565359
강원특별자치도교육청,속초양양교육지원청,양양초등학교병설유치원,공립(병설),김동수,김동수,19810301,19810301,강원특별자치도 양양군 군청길 39,033-671-2834,033-671-2794, ,09시00분~18시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,11,0,38.07732382,128.6217458
강원특별자치도교육청,속초양양교육지원청,온정초등학교병설유치원,공립(병설),차봉춘,차봉춘,19820210,19820210,강원특별자치도 속초시 온천로 107,033-632-8726,033-635-0892,http://onjeong.gwe.es.kr/,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,15,0,38.19028458,128.554161
강원특별자치도교육청,속초양양교육지원청,인구초등학교병설유치원,공립(병설),강호진,강호진,19810301,19810301,강원특별자치도 양양군 해송천로 10,033-670-3309,033-671-1425,http://www.ingu.es.kr,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,5,0,37.96808478,128.7583988
강원특별자치도교육청,속초양양교육지원청,조산초등학교병설유치원,공립(병설),길미경,길미경,19810301,19810301,강원특별자치도 양양군 동해대로 3020,033-670-9800,033-672-4868,http://josan.gwe.es.kr,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,5,0,38.11371345,128.6324008
